Original_Symbol,Human_Official_Symbol
ADH1C,ADH1C
CD38,CD38
Cdx1,CDX1
CEBPE,CEBPE
CRABP2,CRABP2
Cryab,CRYAB
Drd2,DRD2
Egr1,EGR1
ETS1,ETS1
Foxa1,FOXA1
H1F0,H1-0
Hoxa1,HOXA1
HOXA4,HOXA4
Hoxb1,HOXB1
Hoxb4,HOXB4
Hoxd4,HOXD4
HSD17B1,HSD17B1
IL2RA,IL2RA
Pck1,PCK1
Pit1d,NA
RARA,RARA
RARB,RARB
RARG,RARG
Rbp1,RBP1
SFTPB,SFTPB
Tgm2,TGM2
Ucp1,UCP1
ABCC2,ABCC2
ACADM,ACADM
Adrb1,ADRB1
Akp2,NA
APOA1,APOA1
APOA2,LPAL2
APOC3,APOC3
APOD,APOD
ASMT,ASMT
AT-RA 6h,NA
BIRC3,BIRC3
CDKN2B,CDKN2B
CETP,CETP
Cfh,CFH
CHAT,CHAT
Crabp1,CRABP1
Crygf,NA
CSH1,CSH1
Csnk,CSN3
CTSKj,NA
CYP24,CYP24A1
Cyp26k,NA
DTR,PPP1R42
Ebaf,LEFTY2
Edr1,PHC1
Efnb1,EFNB1
EGFR,EGFR
Epo,EPO
Fbp2,FBP2
FOLR1,FOLR2
Gbx2l,NA
Gdf5,GDF5
Gh1,GH1
Glut4,SLC2A4
Gnrh1,GNRH1
GPX2,GPX2
GSTP1m,NA
H2,RLN2
HSD17B2,HSD17B2
Igf1,IGF1
Igf bp6,NA
Il1a,IL1A
IL1B,IL1B
IL2RB,IL2RB
IRF1,IRF1
Itgb3,ITGB3
KRT5,KRT5
Lamb1-1,NA
Lhx1o,NA
LYN,LYN
MCL1,MCL1
Mdkp,NA
Meis1,MEIS1
MGP,MGP
MIG-6q,NA
MMP11,MMP11
Mrg1,MORF4L1P1
Mtap7,NA
MYC,MYC
MYCN,MYCN
NCF1,NCF1
NCX,TLX2
NES,NES
Ngfr,NGFR
Nr2c1,NR2C1
NR2C2,NR2C2
NR4A3,NR4A3
NRD1,NRDC
NRIP1,NRIP1
OXT,OXT
Pcp2,PCP2
PIK3CG,PIK3CG
Pkca,PRKCA
PLAT,PLAT
PTAFR,PTAFR
RAI3,GPRC5A
RARRES3,PLAAT4
RBP4,RBP4
RDHL,DHRS9
RUNX3,RUNX3
S100A7,S100A7
SERPINB2,SERPINB2
Sftpa1,SFTPA1
shh,SHH
SLC10A1,SLC10A1
SLC5A5,SLC5A5
Spp1,SPP1
Srebf1,SREBF1
Star,STAR
STAT1,STAT1
Stra12,NA
Stra13,CENPX
Stra2,NA
Stra4,NA
Stra6,STRA6
Stra8,STRA8
Stra9,NA
STS,STS
Tcfap2c,NA
Tgfb3,TGFB3
Tgfbr1,TGFBR1
Tgfbr2,TGFBR2
THBD,THBD
Ucp3,UCP3
Wnt8d,WNT8A
Aanat,AANAT
ABCB1,ABCB1
Abl1,ABL1
Acta1,ACTA1
Acta2,ACTA2
ADAMTS5,ADAMTS5
ADCYAP1,ADCYAP1
ADCYAP1R1,ADCYAP1R1
Akap12v,NA
AKR1C3,AKR1C3
Aldh1a1,ALDH1A1
ALPIw,NA
Ambp,AMBP
App,APP
AR,AR
Ascl1,ASCL1
Ascl2,ASCL2
B3GNT5,B3GNT5
Bapx1,NKX3-2
BCL2,BCL2
BIRC5,BIRC5
Bmp2,BMP2
Bmp4,BMP4
BST1,BST1
CA2,CA2
Calb1x,NA
CAMK2A,CAMK2A
Camk2d,CAMK2D
Camkk1,CAMKK1
CASP1,CASP1
Casp3,CASP3
Cbg,GBA3
Ccne1,CCNE1
Cd164y,NA
CD44,CD44
CD58,CD58
CD59,CD59
CDC2,CDK1
CDH1,CDH1
CDH2,CDH2
CDH3,CDH3
Cdh6,CDH6
Cdkn1a,CDKN1A
CHGA,CHGA
Chgb,CHGB
Clta,CLTA
CNTFR,CNTFR
Cntn1,CNTN1
Col3a1z,NA
Col4a2,COL4A2
CR1,CR1
Cryd1aa,NA
CSF1,CSF1
CTSB,CTSB
CYBB,CYBB
CYP1A1,CYP1A1
Cyp3a3,CYP3A4
CYP4F2,CYP4F2
Dab2,DAB2
DAG1,DAG1
Dbx1,DBX1
dbx1a,NA
Dbx2,DBX2
DCT,DCT
DDX1bb,NA
DDX17,DDX17
DIO1,DIO1
Dio3cc,NA
DPYSL3,DPYSL3
DSC2,DSC2
DSC3,DSC3
DSG3,DSG3
EMP1,EMP1
ERBB2,ERBB2
ERBB3,ERBB3
ERBB4,ERBB4
eve1,SH3D19
Evx1,EVX1
F3,F3
FCER2,FCER2
FGF5,FGF5
Fgf 9,NA
FGFR2,FGFR2
FGFR3,FGFR3
FGFR4,FGFR4
FGR,FGR
FKBP1A,FKBP1A
FOLR2,FOLR2
Fos,FOS
Foxa2,FOXA2
Fshr,FSHR
Fut4,FUT4
FXYD3,FXYD3
Fyn,FYN
GAP43hh,NA
GATA2,GATA2
Gata4,GATA4
Gata6,GATA6
Gck,GCK
Gfra1,GFRA1
Gjb3,GJB3
Gpcr13,S1PR2
Grasp,TAMALIN
GRP,GRP
HCK,HCK
HNF4A,HNF4A
HOXC5,HOXC5
Hoxd10,HOXD10
Hoxd11,HOXD11
Hoxd13,HOXD13
HSD11B2,HSD11B2
Hsp86-1,NA
ICAM1,ICAM1
ICAM3,ICAM3
Igf1r,IGF1R
IGFBP2,IGFBP2
IGFBP3,IGFBP3
IGFBP5,IGFBP5
IL6,IL6
IL6R,IL6R
INHBA,INHBA
INSii,NA
ITGAL,ITGAL
ITGAM,ITGAM
Itgav,ITGAV
ITGB2,ITGB2
Itgb4,ITGB4
Jun,JUN
JUNB,JUNB
KAI1,CD82
KCNH2,KCNH2
Kitl,KITLG
KLK7,KLK7
KRT10,KRT10
KRT13,KRT13
KRT14,KRT14
KRT16,KRT16
KRT17,KRT17
KRT2A,KRT2
KRT3,KRT3
KRT6Ajj,NA
